"Nome do Arquivo";"Data";"Tema de Discussão"; "Contagem de Palavras"; "Fala"
1950-5-14-Churchill-House of Commons Hansard-MR. HEDDEEWICK  (Wick Burghs).txt;1950-5-14;                Ashanti-Arms In Possession Of The Natives;65;I beg to ask the Secretary of State for Colonies whether his attention has been called to the report that the natives of Ashanti who have risen against us have been found to be armed with modern weapons of precision; and whether, if this report be well founded, he will cause inquiries to be made into the sources from which these weapons have been supplied.
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                Ashanti-Arms In Possession Of The Natives;60;The Governor reported OIL the 30th of April that in the fighting near Coomassie several Ashantis had arms of precision. I have no reason to believe that any large number of Ashantis are armed with "modern weapons of precision" or even "arms of precision," which term is generally used in West Africa to include all arms except flint-lock unrifled muskets.
1950-5-14-Churchill-House of Commons Hansard-MR. HOLLAND  (Yorkshire, W. R., Rotherham).txt;1950-5-14;                Tarquah-Coomassie Railway;44;I beg to ask the Secretary of State for the Colonies whether the arrangements entered into with the Ashanti Goldfields and Ashanti Consols, in connection with the extension of the Tarquah Railway, preclude the construction of any other line from the coast to Coomassie.
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                Tarquah-Coomassie Railway;22;No; but it is not probable that any line would be sanctioned which would compete with the traffic of the Tarquah-Coomassie Railway.
1950-5-14-Churchill-House of Commons Hansard-MR. BUCHANAN  (Aberdeenshire, E.).txt;1950-5-14;                Tarquah-Coomassie Railway;10;Will the agreement be laid on the Table and circulated?
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                Tarquah-Coomassie Railway;8;I have no objection to that at all.
1950-5-14-Churchill-House of Commons Hansard-MR. BUCHANAN.txt;1950-5-14;                Tarquah-Coomassie Railway;9;Will any public money be spent for guarantee purposes?
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                Tarquah-Coomassie Railway;11;The hon. Member had better wait till the Papers are laid.
1951-5-25-Churchill-House of Commons Hansard-The Lord Privy Seal (Mr. Stokes).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;13;I beg to move, "That the Bill be now read a Second time."
1951-5-25-Churchill-House of Commons Hansard-Mr. Harold Macmillan (Bromley).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;6;On the 4 per cent. invested?
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;169;No, I am coming to that. The 4 per cent., to which reference has been made, has nothing to do with that at all. With reference to discrepancies in the bookkeeping, again they may not have been wrong payments, but may have been payments to people but not for the right job. Although the accountants have said that 4 per cent. is not unusually high, it is too high to be proper and they would have preferred it to have been lower. That 4 per cent. was not money necessarily improperly paid out, but the total amount of the discrepancies in the bookkeeping—money which may or may not have been properly paid, and again, that cannot be ascertained until a further full investigation is made. At any rate, I do not propose to pass judgment, because I cannot do so. Festival Gardens, Ltd., can go further if they see fit, and that will have to wait until they have decided on what settlement they will make with the contractor.
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister (Rutherglen).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;68;Before my right hon. Friend leaves the question of the original loan, does not he think it a pity that Mr. H. N. Butler, F. C. A., should refer in the first paragraph of his report to the £770,000 as the estimated expenditure, when quite clearly it was the amount of the loan? That statement tends to give a misdirection from the beginning to a very fair-minded report.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;76;I am glad my hon. Friend has drawn my attention to the point. Of course, the £770,000 was not the original estimated cost at all. It was the original estimated liquid capital with which to carry the show through. That is all it was meant to be, having regard to certain  moneys coming into the Company from concessionaires and having regard to the revenue they expected to collect from time to time once the show opened.
1951-5-25-Churchill-House of Commons Hansard-Mr. Edgar Granville (Eye).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;28;Can the right hon. Gentleman give the House a rough estimate of what he thinks it might cost to make these temporary Festival buildings suitable for another year?
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;93;I should be very hesitant about doing that without looking at the estimates myself. It would all depend on whether we went on for one, two or three years. It might very well be that if we carried on for one year we could patch up as we went. As I say, I should be very hesitant to give a figure. If we were to go the full five years, I should think that an extra £150,000 to £200,000 would probably be necessary to ensure the continuation of the buildings as they are.
1951-5-25-Churchill-House of Commons Hansard-Mr. Granville.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;7;Which would be covered by this Bill?
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;152;For the immediate financing, yes, but I have not the slightest doubt whatever—let us be quite clear about this—that this scheme has such tremendous revenue-bearing possibilities that the whole of the loan can be paid off. I would reckon that within four or five years the sums already expended could be written off out of profits or margins on the right side, or whatever one wished to call them, on the operations of the Gardens and fun fair jointly. But it is always a dangerous thing to anticipate that revenue is going to run at a regular level. It is going splendidly at the present time, and, provided the weather holds and the public continue to like it, as they appear to do at the moment, I see no difficulty whatever in  paying off the whole of the loan in four or five years, and, indeed, that is what I am advised.
1951-5-25-Churchill-House of Commons Hansard-Mr. Duncan Sandys (Streatham).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;124;I am sure that we can all share with the right hon. Gentleman the Lord Privy Seal the satisfaction that the fun fair and Pleasure Gardens in Battersea Park are undoubtedly going to give a great deal of enjoyment to many people in London; but that is not really the issue we are debating this afternoon. I noticed that the right hon. Gentleman, following the pattern of the right hon. Gentleman the Minister of Defence, devoted a good deal of his time to matters which were not strictly pertinent to the question under discussion. He also avoided quite a number of issues to which, I think, this House has a right to an answer before being asked to vote further money for this purpose.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;2;indicated dissent.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;153;Anyway, he is blushing now. We recognise that since his appointment, the right hon. Gentleman has done everything that is humanly possible to clear up the Augean stable which he inherited from his predecessor. We are also indebted to him for the frankness with which he has treated the House, a frankness to which we were not altogether accustomed on this particular question. Perhaps it is easier to be frank about one's predecessor's errors than about one's own. The right hon. Gentleman has done his best today to make such excuses as could be made for his right hon. Friend's earlier  administration. I think he must have felt a little like a barrister who was briefed to defend a company director whose business had gone off the rails and whose only defence was to plead that he had been so neglectful of his duties that he did not know what was going on.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;125;That is not quite right. If I gave the right hon. Gentleman that impression, I was wrong. The Festival Council were appointed in 1948 and it was not necessary to have a Bill to form Festival Gardens, Limited. Had it been thought advisable the fun fair could have been proceeded with under the Festival Office. It was a mere difference of thought. What happened was that the fun fair got left to the end. There were bigger projects involved. If blame is to be laid, it was not my right hon. Friend's fault; it was the fault of the Festival Office for not getting on with the job quicker; but I do not wish to lay that charge at their door. It was their responsibility.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;79;The right hon. Gentleman said a late start was at the root of the trouble. He says the responsibility was not that of the Foreign Secretary, the then Lord President. He says it was the responsibility of the Festival Office. As I understand it, that office is part of the Department of the Lord President and I cannot believe that the Foreign Secretary, if he were here, would wish to shelter behind the Civil Service in his own Department.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;15;It is an all-party Council on which Members of the Front Bench opposite are represented.
