/home/labri_pedro/prime_minister/1948-5-12-Chamberlain-House of Commons Hansard-The Prime Minister (Mr. Attlee).txt;1948-5-12-Chamberlain-House of Commons Hansard-The Prime Minister (Mr. Attlee).txt;1948-5-12;House Of Lords (Composition);The Prime Minister (Mr. Attlee);62;Paragraph 5 of the White Paper on the Parliament Bill summarises certain general proposals for reforming the composition of the House of Lords. These I should have been prepared to commend in principle to the Labour Party if it had been possible to find a basis for agreement between the Parties covering both the composition and the powers of a Second Chamber.
/home/labri_pedro/prime_minister/1948-5-12-Chamberlain-House of Commons Hansard-Mr. Chamberlain.txt;1948-5-12-Chamberlain-House of Commons Hansard-Mr. Chamberlain.txt;1948-5-12;House Of Lords (Composition);Mr. Chamberlain;44;While thanking the Prime Minister for that information, may I ask him if he is aware that the clear intention of the Government to introduce women into the House of Lords and to abolish the hereditary principle has given great satisfaction to the country?
/home/labri_pedro/prime_minister/1948-5-12-Chamberlain-House of Commons Hansard-The Prime Minister.txt;1948-5-12-Chamberlain-House of Commons Hansard-The Prime Minister.txt;1948-5-12;House Of Lords (Composition);The Prime Minister;37;We have given a great deal of time and consideration to try to come to an agreement, and we have failed. I do not think it would be useful to reopen the matter at the present moment.
/home/labri_pedro/prime_minister/1939-10-25-Chamberlain-House of Commons Hansard-The Prime Minister (Mr. Chamberlain).txt;1939-10-25-Chamberlain-House of Commons Hansard-The Prime Minister (Mr. Chamberlain).txt;1939-10-25;Poison Gas (German Allegations);The Prime Minister (Mr. Chamberlain);53;My right hon. Friend the Secretary of State for War has already caused the most explicit denial to be made of this impudent and transparent falsehood. I am nevertheless grateful for this opportunity of stating categorically once more that poison gas has never been supplied by this country to Poland in any form.
/home/labri_pedro/prime_minister/1939-10-25-Chamberlain-House of Commons Hansard-The Prime Minister.txt;1939-10-25-Chamberlain-House of Commons Hansard-The Prime Minister.txt;1939-10-25;Poison Gas (German Allegations);The Prime Minister;8;We have known similar instances in the past.
/home/labri_pedro/prime_minister/1937-7-15-Chamberlain-House of Commons Hansard-The Prime Minister (Mr. Chamberlain).txt;1937-7-15-Chamberlain-House of Commons Hansard-The Prime Minister (Mr. Chamberlain).txt;1937-7-15;Ex-Members Of Parliament (Suggested Pension Scheme);The Prime Minister (Mr. Chamberlain);73;I have appointed a Departmental Committee to examine the practical aspects of the suggestion for a pension scheme for Members of Parliament, the necessary funds to be raised and maintained by personal contributions from Members (whether compulsory or voluntary) without any charge to the taxpayer, and to report to me what are the various alternatives. On receipt of this report, I propose to consult further with representative Members of Parliament on the matter.
/home/labri_pedro/prime_minister/1940-6-20-Chamberlain-House of Commons Hansard-Mr. Chamberlain.txt;1940-6-20-Chamberlain-House of Commons Hansard-Mr. Chamberlain.txt;1940-6-20;Scientific Research (Enemy Inventions);Mr. Chamberlain;44;No, Sir, I did not say that. It is impossible to publish every invention which may he devised by the enemy, and if certain of them were selected, it would be pointing out to the enemy those inventions which we think are of importance.
/home/labri_pedro/prime_minister/1940-6-20-Chamberlain-House of Commons Hansard-Mr. Chamberlain.txt;1940-6-20-Chamberlain-House of Commons Hansard-Mr. Chamberlain.txt;1940-6-20;Scientific Research (Enemy Inventions);Mr. Chamberlain;17;The hon. Member will be aware that we have already devised a counter to the magnetic mine.
/home/labri_pedro/prime_minister/1938-2-15-Chamberlain-House of Commons Hansard-The Prime Minister (Mr. Chamberlain).txt;1938-2-15-Chamberlain-House of Commons Hansard-The Prime Minister (Mr. Chamberlain).txt;1938-2-15;British Publicity;The Prime Minister (Mr. Chamberlain);15;The hon. Member may rest assured that all aspects of this subject will be considered.
/home/labri_pedro/prime_minister/1937-11-23-Chamberlain-House of Commons Hansard-The Prime Minister (Mr. Chamberlain).txt;1937-11-23-Chamberlain-House of Commons Hansard-The Prime Minister (Mr. Chamberlain).txt;1937-11-23;Anglo-United States Trade Agreement Negotiations;The Prime Minister (Mr. Chamberlain);69;Yes, Sir. His Majesty's Government are prepared to co-operate with the United States Government in any practicable methods of promoting world economic stability. In present circumstances the negotiations for a trade agreement between the two countries which are now contemplated would appear to offer a helpful contribution to this end, and I would refer my hon. Friend to the statement which I made on 18th November on this subject.
/home/labri_pedro/prime_minister/1938-6-14-Chamberlain-House of Commons Hansard-Mr. Attlee (by Private Notice).txt;1938-6-14-Chamberlain-House of Commons Hansard-Mr. Attlee (by Private Notice).txt;1938-6-14;Spain (Attacks On British Shipping);Mr. Attlee (by Private Notice);34;asked the Prime Minister whether, in view of the continued attacks by Spanish insurgent forces upon British and other neutral shipping, any further action has been taken, or is contemplated, by His Majesty's Government?
/home/labri_pedro/prime_minister/1938-6-14-Chamberlain-House of Commons Hansard-The Prime Minister (Mr. Chamberlain).txt;1938-6-14-Chamberlain-House of Commons Hansard-The Prime Minister (Mr. Chamberlain).txt;1938-6-14;Spain (Attacks On British Shipping);The Prime Minister (Mr. Chamberlain);148;On 31st May, His Majesty's Government made representations to he Burgos authorities by way of protest against damage suffered by British ships in or adjacent to Spanish Government ports. In reply to these representations the Burgos authorities stated on 5th June that they deplored the loss of life that had occurred at Valencia and other ports and that it was in conflict with their policy that their aviators should single out British ships for attack. British ships were, however, liable to mingle with ships of other nationalities, and where they lay in the neighbourhood of military objectives the task of discrimination between ships and military objectives was rendered at times impossible. They were unable to renounce the use of the Air Arm inasmuch as the prolongation of the war was due to the importation of military supplies which they declared were being carried by British and other ships.
/home/labri_pedro/prime_minister/1938-6-14-Chamberlain-House of Commons Hansard-Mr. Attlee.txt;1938-6-14-Chamberlain-House of Commons Hansard-Mr. Attlee.txt;1938-6-14;Spain (Attacks On British Shipping);Mr. Attlee;98;Has the right hon. Gentleman considered the danger in this acquiescence in breaches of international law—the sinking of ships where there is no question of belligerency and the indiscriminate bombing, which are breaches of international law—and is there no effective action which the right hon. Gentleman's Government can take in order not to acquiesce in this degeneration of warfare; and may I further ask whether he has considered that, in the circumstances, it would be well to allow the Spanish Government to import anti-aircraft guns to protect not only British ships, but to protect their women and children?
/home/labri_pedro/prime_minister/1938-6-14-Chamberlain-House of Commons Hansard-The Prime Minister.txt;1938-6-14-Chamberlain-House of Commons Hansard-The Prime Minister.txt;1938-6-14;Spain (Attacks On British Shipping);The Prime Minister;19;I think the statement which I have made will show that His Majesty's Government have considered all possible alternatives—
