1939-10-25-Churchill-House of Commons Hansard-The First Lord of the Admiralty (Mr. Churchill).txt;1939-10-25;His Majesty's Ship "Royal Oak" (Inquiry);48;The inquiry into the causes of the loss of His Majesty's ship "Royal Oak" is now taking place as speedily as possible, but I cannot say when I shall be in a position to make a further statement as a result of the inquiry. I hope next week.
1939-10-25-Churchill-House of Commons Hansard-Mr. Churchill.txt;1939-10-25;His Majesty's Ship "Royal Oak" (Inquiry);26;Yes, Sir; I will make another statement, but I shall have to be very careful not to disclose information which might be useful to other parties.
1939-10-25-Churchill-House of Commons Hansard-Mr. Churchill.txt;1939-10-25;His Majesty's Ship "Royal Oak" (Inquiry);9;Yes, Sir, I will certainly bear that in mind.
1939-10-25-Churchill-House of Commons Hansard-Mr. Churchill.txt;1939-10-25;His Majesty's Ship "Royal Oak" (Inquiry);40;Yes, Sir, I have seen a number of statements made by the German U-boat commander. In part they are a repetition of information which I have given to the House, and in part they have no relation to the facts.
1939-10-25-Churchill-House of Commons Hansard-Mr. Churchill.txt;1939-10-25;His Majesty's Ship "Royal Oak" (Inquiry);34;Yes, Sir, but in relation to Scapa Flow, "harbour" is not quite the right term, because it is a great landlocked bay many miles across. This ship was several miles from any other vessel.
1950-12-14-Churchill-House of Commons Hansard-The Prime Minister (Mr. Attlee).txt;1950-12-14;Prime Minister's Visit To Usa;151;I think there has been a general desire that with this debate I should give a fuller account of the talks which I had at Washington and supplement the fairly full report that was given in the communiqué. I should like at the outset to recall the circumstances in which I decided to pay a visit to the United States of America. It will be recalled that the House debated foreign affairs on 29th and 30th November, and that just at that time there were grave developments in Korea. I think there was in this country, and, perhaps, not only in this country, a good deal of anxiety as to where events were leading us, and the course of the debate indicated that the present time would be opportune for me to pay a visit to the President of the United States, which I had had in contemplation for some time.
1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;4;It was not limited.
1950-12-14-Churchill-House of Commons Hansard-The Prime Minister.txt;1950-12-14;Prime Minister's Visit To Usa;61;The nature of the arrangements which we made in war-time and the nature of the agreement between the Governments have never been revealed. It is also public knowledge that the co-operation between the countries continues for certain purposes in the atomic energy field. For example, the results of a Tripartite Conference on the declassification of secret material were recently made known.
1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;8;We do not know what the assurances are.
1950-12-14-Churchill-House of Commons Hansard-The Prime Minister.txt;1950-12-14;Prime Minister's Visit To Usa;44;In our talks the President and I considered Far Eastern problems in the perspective of the world situation. We are concerned with the preservation of peace not only in the Far East but in South East Asia, in the Middle East and in Europe.
1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;164;No, I would rather not, thank you very much. One can always take examples from what happens. The President of the United States the other day let himself be cross-examined freely during a Press conference on this very topic. In my opinion, one ought not to say anything upon the subject one has not very carefully considered beforehand. I certainly do not intend to be cross-examined by the hon. Gentleman, because I have considered carefully what I should say. I am strongly of opinion that the Government should make a fuller statement upon this subject, and that this would be beneficial both to our own position and to our relationship with the United States. After all, this matter has become one of very real and vital consequence to us since the decision of the Government to afford the United States the bomber base in East Anglia, which makes it all the more necessary that the  position in which we stand should be clearly defined.
1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;61;—but he should also consider the injury that will be done to our rearmament programme by taking this industry from the competent hands in which it now rests and placing it under the imperfect and inexperienced State management by which it is threatened. It really is not a matter for mere hilarity for uneasy minds and unsettled consciences below the Gangway.
1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;170;The Prime Minister spoke about raw materials and the arrangements which were being made for them, but steel is the mainspring of all effective rearmament measures. We wished the right hon. Gentleman well upon his Transatlantic mission, and we have recognised the advantages which it has secured, but I will say now that if he persists in his present attitude on steel nationalisation, he will fail in his duties  to the country as a whole. Although we approved of the visit of the Prime Minister to the United States, although we lent him full support on his mission, although the results have been helpful so far as they go, we cannot in these circumstances feel confidence in the loyalty of the Government to the people of this country. The Prime Minister is counting on our support, which will—[HON. MEMBERS: "No."]—which will not be withheld on issues of national importance abroad, while at the same time he is seeking to placate his political tail by acts of party faction at home.
1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;6;It is very doubtful whether these—
1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;26;As my voice was drowned by hon. Members opposite, I might repeat the sentence on which I closed—namely, that we think it is very doubtful whether—
1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;31;If there is any one man in this House who should hang his head in shame—[Interruption]—it is the hon. Gentleman, who won cheers by abusing the United States as shabby moneylenders.
1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;15;—and now has to applaud with all his strength the tributes paid by the leader—
1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;47;As the hon. Gentleman went out of his way to interrupt me in what I was hoping would be the closing sentence that I should have to utter, I thought it right to point out what he had said in the past and to draw his attention—
1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;64;—to draw his attention to the very different sentiments which have been put forward today. I regret very much that the Prime Minister—[Interruption.]—I beg hon. Gentlemen opposite not to interrupt any expression of their feelings which they may desire to make, because it does not trouble or worry me in the slightest. It only prevents my getting on with what I have to say.
1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;62;I am quite determined to utter my last sentence if I have to stand here half an hour. What I say is that I very much regret that the Prime Minister has not risen to the heights of his national responsibility, and I predict that he will encounter misfortunes and reproach on the discordant course to which he has devoted himself. [Interruption.]
1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;8;Four hundred thousand killed in the Punjab alone.
1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;7;The resolution at Strasbourg mentioned them particularly.
1947-1-27-Churchill-House of Commons Hansard-Mr. Churchill.txt;1947-1-27;Anglo-Egyptian Treaty;18;Is there any reason to doubt that the Treaty of 1936 is a solemn and valid international instrument?
1951-6-21-Churchill-House of Commons Hansard-Mr. Churchill.txt;1951-6-21;Capital Investment Programme (Government Policy);156;Is it not rather abrupt to turn down all idea of a White Paper, even supposing it could not have the full precision of previous years—if, indeed, that quality has resided in the documents then published? Could it not be issued under the necessary reserves? Could not we have the most detailed and careful statement that the right hon. Gentleman can prepare under the reserves, even if some of the details are necessarily  I omitted? Surely we ought to have some thing more than just these three pages of typescript read out to us before very large: changes affecting the social life of the: whole people are, as it were, tacitly assented to by the House? May I ask the Chancellor of the Exchequer whether he will not reconsider this matter and give' us the best White Paper he can, and then we can consider in what form the matter should be debated or carried further.
1952-7-22-Churchill-House of Commons Hansard-The Prime Minister.txt;1952-7-22;Civil List Pensions;52;As the list was published three months ago, I do not think there is any reason for printing it in the OFFICIAL REPORT now. This is a matter in which there is no secrecy, but on the other hand undue publicity is not encouraged by convention and custom followed by both parties.
1945-3-27-Churchill-House of Commons Hansard-The Prime Minister (Mr. Churchill).txt;1945-3-27;Timber (Supplies From Germany);2;Yes, Sir.
1945-3-27-Churchill-House of Commons Hansard-The Prime Minister.txt;1945-3-27;Timber (Supplies From Germany);2;Yes, Sir.
1947-6-03-Churchill-House of Commons Hansard-The Prime Minister (Mr. Attlee).txt;1947-6-03;India (Transfer Of Power);44;I desire to make an important statement on Indian policy. A similar statement is being made at the same time in another place, and by the Viceroy in New Delhi. The statement, in the form of a White Paper, will be available this afternoon.
1947-6-03-Churchill-House of Commons Hansard-Mr. Churchill.txt;1947-6-03;India (Transfer Of Power);1;rose—
1947-6-03-Churchill-House of Commons Hansard-Mr. Churchill.txt;1947-6-03;India (Transfer Of Power);170;It is, of course, impossible for the House to weigh and measure the full meaning of the most important statement which has just been made to us by the Prime Minister. I am bound to say that it seemed very difficult to understand, but the White Paper which is in the Vote Office will have to be studied with attention and will probably carry the largest measure of proof to those who are best instructed. No doubt we shall have a Debate at a suitable moment on this question. I am not asking for any particular date to be fixed at the present moment. I am bound to say, however, that the two conditions foreseen at the time of the Cripps Mission, which was set up under my Administration—namely, first, agreement between the Indian parties and, secondly, a period of Dominion status in which India or any part of it may freely decide whether or not to remain within the association of the British Commonwealth of Nations—seem to be fulfilled.
1947-6-03-Churchill-House of Commons Hansard-Mr. Churchill.txt;1947-6-03;India (Transfer Of Power);26;May I respectfully say that this is a matter of considerable importance? Surely, the Opposition party should be permitted to make some passing and brief comments.
1947-6-03-Churchill-House of Commons Hansard-Mr. Churchill.txt;1947-6-03;India (Transfer Of Power);62;As I was saying, the two principles on which the Cripps Mission stood—namely, agreement and a period of Dominion status with perfect freedom to choose—appear to be fulfilled, as far as I can see from the copy of the White Paper which is now in the Vote Office and which, through the courtesy of the Prime Minister, I received an hour ago.
1947-6-03-Churchill-House of Commons Hansard-Mr. Churchill.txt;1947-6-03;India (Transfer Of Power);203;Even in Russia there are distinctions between the grades which different people occupy. If it should prove to be the case that these two conditions have been maintained in fact and in form, then I say that all parties in this House are equally pledged by the offer and the declaration that we have made, and on these points we can only be well assured by the course of events in the next few weeks and months. It is quite true that the agreement of the various parties in India has only been achieved on the basis of partition. I gather that is the foundation. Nevertheless, after a reasonable period of deliberation and responsibility, should all these parties decide to remain within the British Commonwealth of Nations, the theme of the unity of India will be preserved, and the many nations and States of India may find their unity within the mysterious circle of the British Crown, just as the self-governing Dominions have done for so many years after all other links with the Mother Country, save those of sentiment, have been dissolved. It may, therefore, be that through a form of partition, the unity of India may, none the less, be preserved.
1947-6-03-Churchill-House of Commons Hansard-The Prime Minister.txt;1947-6-03;India (Transfer Of Power);22;My hon. Friend may rest assured that every endeavour will be made to get a true reflection of the views of India.
1947-6-03-Churchill-House of Commons Hansard-The Prime Minister.txt;1947-6-03;India (Transfer Of Power);120;With regard to the first point, I think it hardly arises. That is a matter that will obviously come up under the Constitution. With regard to the second point, I did say there would have to be a boundary commission with regard to Sylhet, and I would take it--I am not acquainted with that particular district intimately—that, if there is any district adjoining that might be brought into Bengal suitably, that would be a matter for consideration. With regard to the tribes on the North-East frontier, as the hon. and gallant Gentleman knows so well, they come into the Province of Assam; and that will fall to be dealt with by the Constituent Assembly of which Assam forms a part.
1947-6-03-Churchill-House of Commons Hansard-Mr. Churchill.txt;1947-6-03;India (Transfer Of Power);8;What of the leaders of the Russian opposition?
1947-6-03-Churchill-House of Commons Hansard-The Prime Minister.txt;1947-6-03;India (Transfer Of Power);35;I should rather not make a statement without considering the whole matter very closely. It is one, of course, that is under very close observation. But I should be ill-advised to make a statement now.
1947-6-03-Churchill-House of Commons Hansard-The Prime Minister.txt;1947-6-03;India (Transfer Of Power);19;I think that is looking rather far ahead. One cannot look too far ahead. There has to be consultation.
1947-6-03-Churchill-House of Commons Hansard-The Prime Minister.txt;1947-6-03;India (Transfer Of Power);37;I certainly will. I should rather deprecate a Debate at the present time, because the affair is now in the hands of the Indian leaders. But I will certainly do my best to keep the House informed.
1947-5-12-Churchill-House of Commons Hansard-Mr. Churchill.txt;1947-5-12;Town And Country Planning Bill;35;I do not know why the Leader of the House should be trying so hard to keep up with the levelling doctrines destructive of Parliamentary government, which hitherto have been the perquisites of the Communists.
1952-10-16-Churchill-House of Commons Hansard-The Prime Minister.txt;1952-10-16;Council Of Europe (Parliamentary Debate);26;I would certainly agree that there are a great many subjects which have been regretted, but I do not feel that this one is outstandingly regrettable.
1952-10-16-Churchill-House of Commons Hansard-The Prime Minister.txt;1952-10-16;Council Of Europe (Parliamentary Debate);28;We have not yet fixed the day and the occasion for the debate. I am sure that it would be premature to arrange the speakers so far ahead
1944-1-19-Churchill-House of Commons Hansard-The Prime Minister (Mr. Churchill).txt;1944-1-19;Overseas Trade Department;71;I would refer my hon. Friend to the full statement on this subject which my right hon. Friend the Secretary to the Overseas Trade Department made in the course of the Debate on Overseas Trade on 27th July last, and also in reply to a Question by my hon. Friend, the Member for West Birmingham (Mr. Higgs) on 16th December last. To these I have at the moment nothing to add.
1944-1-19-Churchill-House of Commons Hansard-The Prime Minister.txt;1944-1-19;Overseas Trade Department;19;I am not at all unaware of the vital importance which our export trade will assume after the war.
1942-2-17-Churchill-House of Commons Hansard-The Prime Minister (Mr. Churchill).txt;1942-2-17;Minister Of Defence;2;No, Sir.
1942-2-17-Churchill-House of Commons Hansard-The Prime Minister.txt;1942-2-17;Minister Of Defence;19;I would be quite ready to test the opinion of the House by putting down my salary for Debate.
1952-7-21-Churchill-House of Commons Hansard-The Prime Minister.txt;1952-7-21;British Warships;60;Admiral Fechteler is not under the command of Her Majesty's Admiralty or Government, and  I really cannot undertake to answer questions relating to statements made by the higher officers of other countries in the North Atlantic Treaty Organisation. The principle is laid down quite clearly that it is the policy of the United Nations command to limit hostilities to Korea.
1946-10-10-Churchill-House of Commons Hansard-Mr. Churchill.txt;1946-10-10;Disused Camps And Huts (Squatters);82;I take it that the right hon. Gentleman is definitely accepting a much lower standard of accommodation in these camps for people who wish to live there than would be acceptable in any permanent system of housing, and that the local authority regulations will be relaxed to a considerable extent in cases of people who wish to have any kind of home but who cannot have the kind of home which  we think proper. and which we intend to secure for them?
1944-10-04-Churchill-House of Commons Hansard-The Prime Minister (Mr. Churchill).txt;1944-10-04;Overseas Forces (Home Leave);9;We We shall do the very best we can.
1944-11-15-Churchill-House of Commons Hansard-The Prime Minister (Mr. Churchill).txt;1944-11-15;Armed Forces (Business Men, Release);77;I need hardly remind my hon. and gallant Friend that the static establishments and stations referred to by him are necessary for the prosecution of the war. The officers and men over 40 years old and of low medical category who are employed there relieve other officers and men for more active duty and in view of the present shortage of man-power I regret that the present arrangements for indefinite release from the Forces cannot be extended.
1944-11-15-Churchill-House of Commons Hansard-The Prime Minister.txt;1944-11-15;Armed Forces (Business Men, Release);73;The new fact that stares one most in the face is the extremely heavy fighting which is continuing week by week, and which will certainly last for a good long time. I am sure that my right hon. Friend the Secretary of State for War will be glad to discuss with my hon. and gallant Friend the particular point he makes about plenty of spare men. We have not noticed it so far.
1945-11-08-Churchill-House of Commons Hansard-Mr. Churchill.txt;1945-11-08;Press Report;41;(by Private Notice) asked the Prime Minister whether, in view of the public anxiety aroused, he is now in a position to state the decision reached by His Majesty's Government as to the future of the hospitals, both voluntary and municipal?
1945-11-08-Churchill-House of Commons Hansard-The Prime Minister.txt;1945-11-08;Press Report;34;The Government cannot be held responsible for any anxieties which may be caused by unauthorised statements in the Press; they are not in a position to make any statement in the matter at present.
1945-11-08-Churchill-House of Commons Hansard-Mr. Churchill.txt;1945-11-08;Press Report;102;:Will the Prime Minister take into consideration that considerable harm has been done by this statement, this unauthorised statement, from many points of view, and that the springs of private charity may be dried up before the tides of public benevolence begin to flow? Is the right hon. Gentleman aware that literally from day to day people are giving large sums to the voluntary hospitals or are leaving them, under bequests, and that great disturbance has been caused by this unauthorised publication? Has he made or taken any steps to ascertain how this leakage occurred and what is the foundation of it?
1945-11-08-Churchill-House of Commons Hansard-The Prime Minister.txt;1945-11-08;Press Report;76;:I am not prepared to admit that there was a leakage. I have made inquiries and cannot find that there has been any leakage. I know that my right hon. Friend is well aware of the enterprise, intelligent anticipation and sometimes imagination of the Press. I am sure that the Press will take full notice of my right hon. Friend's admonition. I hope that the general public will not be deterred, in view of the statement.
1945-11-08-Churchill-House of Commons Hansard-Mr. Churchill.txt;1945-11-08;Press Report;74;Is the Prime Minister aware that the "Daily Herald," the official organ of the Socialist Party, published a statement beginning, "The Cabinet have decided," and so on? Can he not use his influence, which I trust is greater under present conditions than it was in the late Administration, with that organ? In any case, will he not say something to give stability to the position until he is prepared with the proposals for changes?
1945-11-08-Churchill-House of Commons Hansard-The Prime Minister.txt;1945-11-08;Press Report;43;:I am sure my right hon. Friend knows the difficulty I should be in if I tried to subedit the newspapers. As a matter of fact, this story first arose in the "Sunday Pictorial," which is not an organ connected with this party.
1945-11-08-Churchill-House of Commons Hansard-The Prime Minister.txt;1945-11-08;Press Report;8;I can give the hon. Member that assurance.
1945-11-08-Churchill-House of Commons Hansard-Mr. Churchill.txt;1945-11-08;Press Report;53;:Whilst they are keeping up their courage, may I ask the right hon. Gentleman whether we may now take it that these are idle and unauthorised rumours, that when the Government have a plan they will announce it and that they will try to keep their own secrets till the proper moment comes?
1945-11-08-Churchill-House of Commons Hansard-The Prime Minister.txt;1945-11-08;Press Report;32;:The right hon. Gentleman may take it that, at the right time, a statement will be made by the Government, but he must not assume that everything he sees in the Press—
1945-11-08-Churchill-House of Commons Hansard-Mr. Churchill.txt;1945-11-08;Press Report;4;In the "Daily Herald."
1945-11-08-Churchill-House of Commons Hansard-The Prime Minister.txt;1945-11-08;Press Report;56;I never assume anything whether from the "Daily Express" or from any other paper. It is better to keep off these controversies about newspapers. Our intention is that a statement shall be made to the House of Commons. We cannot be held responsible for intelligent, or unintelligent, anticipations or imaginations in any section of the Press.
1949-1-18-Churchill-House of Commons Hansard-Mr. Churchill.txt;1949-1-18;Palestine (Situation);149;I fear that we shall have to ask for a Debate next week and no doubt it would be very satisfactory if that were prefaced by a further statement by the right hon. Gentleman. I venture to put to you, Sir, that the House must not be prevented from discussing matters of real and burning interest by vague statements of great improvements that are on the way and important delicate discussions which are going on. Nor do I think this last statement which has been made by the right hon. Gentleman—the announcement which he has just made of the release of large, or considerable numbers, of Jewish immigrants of fighting age from Cyprus in order that they should  join the Jewish Forces in Palestine—fits in very well with the drastic military action which he has taken in other directions. Is he not in fact reinforcing both sides at once?
