/home/labri_pedro/prime_minister/1939-10-25-Churchill-House of Commons Hansard-The First Lord of the Admiralty (Mr. Churchill).txt;1939-10-25-Churchill-House of Commons Hansard-The First Lord of the Admiralty (Mr. Churchill).txt;1939-10-25;His Majesty's Ship "Royal Oak" (Inquiry);The First Lord of the Admiralty (Mr. Churchill);48;The inquiry into the causes of the loss of His Majesty's ship "Royal Oak" is now taking place as speedily as possible, but I cannot say when I shall be in a position to make a further statement as a result of the inquiry. I hope next week.
/home/labri_pedro/prime_minister/1939-10-25-Churchill-House of Commons Hansard-Mr. Churchill.txt;1939-10-25-Churchill-House of Commons Hansard-Mr. Churchill.txt;1939-10-25;His Majesty's Ship "Royal Oak" (Inquiry);Mr. Churchill;26;Yes, Sir; I will make another statement, but I shall have to be very careful not to disclose information which might be useful to other parties.
/home/labri_pedro/prime_minister/1939-10-25-Churchill-House of Commons Hansard-Mr. Churchill.txt;1939-10-25-Churchill-House of Commons Hansard-Mr. Churchill.txt;1939-10-25;His Majesty's Ship "Royal Oak" (Inquiry);Mr. Churchill;9;Yes, Sir, I will certainly bear that in mind.
/home/labri_pedro/prime_minister/1939-10-25-Churchill-House of Commons Hansard-Mr. Churchill.txt;1939-10-25-Churchill-House of Commons Hansard-Mr. Churchill.txt;1939-10-25;His Majesty's Ship "Royal Oak" (Inquiry);Mr. Churchill;40;Yes, Sir, I have seen a number of statements made by the German U-boat commander. In part they are a repetition of information which I have given to the House, and in part they have no relation to the facts.
/home/labri_pedro/prime_minister/1939-10-25-Churchill-House of Commons Hansard-Mr. Churchill.txt;1939-10-25-Churchill-House of Commons Hansard-Mr. Churchill.txt;1939-10-25;His Majesty's Ship "Royal Oak" (Inquiry);Mr. Churchill;34;Yes, Sir, but in relation to Scapa Flow, "harbour" is not quite the right term, because it is a great landlocked bay many miles across. This ship was several miles from any other vessel.
/home/labri_pedro/prime_minister/1950-12-14-Churchill-House of Commons Hansard-The Prime Minister (Mr. Attlee).txt;1950-12-14-Churchill-House of Commons Hansard-The Prime Minister (Mr. Attlee).txt;1950-12-14;Prime Minister's Visit To Usa;The Prime Minister (Mr. Attlee);151;I think there has been a general desire that with this debate I should give a fuller account of the talks which I had at Washington and supplement the fairly full report that was given in the communiqué. I should like at the outset to recall the circumstances in which I decided to pay a visit to the United States of America. It will be recalled that the House debated foreign affairs on 29th and 30th November, and that just at that time there were grave developments in Korea. I think there was in this country, and, perhaps, not only in this country, a good deal of anxiety as to where events were leading us, and the course of the debate indicated that the present time would be opportune for me to pay a visit to the President of the United States, which I had had in contemplation for some time.
/home/labri_pedro/prime_minister/1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;Mr. Churchill;4;It was not limited.
/home/labri_pedro/prime_minister/1950-12-14-Churchill-House of Commons Hansard-The Prime Minister.txt;1950-12-14-Churchill-House of Commons Hansard-The Prime Minister.txt;1950-12-14;Prime Minister's Visit To Usa;The Prime Minister;61;The nature of the arrangements which we made in war-time and the nature of the agreement between the Governments have never been revealed. It is also public knowledge that the co-operation between the countries continues for certain purposes in the atomic energy field. For example, the results of a Tripartite Conference on the declassification of secret material were recently made known.
/home/labri_pedro/prime_minister/1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;Mr. Churchill;8;We do not know what the assurances are.
/home/labri_pedro/prime_minister/1950-12-14-Churchill-House of Commons Hansard-The Prime Minister.txt;1950-12-14-Churchill-House of Commons Hansard-The Prime Minister.txt;1950-12-14;Prime Minister's Visit To Usa;The Prime Minister;44;In our talks the President and I considered Far Eastern problems in the perspective of the world situation. We are concerned with the preservation of peace not only in the Far East but in South East Asia, in the Middle East and in Europe.
/home/labri_pedro/prime_minister/1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;Mr. Churchill;164;No, I would rather not, thank you very much. One can always take examples from what happens. The President of the United States the other day let himself be cross-examined freely during a Press conference on this very topic. In my opinion, one ought not to say anything upon the subject one has not very carefully considered beforehand. I certainly do not intend to be cross-examined by the hon. Gentleman, because I have considered carefully what I should say. I am strongly of opinion that the Government should make a fuller statement upon this subject, and that this would be beneficial both to our own position and to our relationship with the United States. After all, this matter has become one of very real and vital consequence to us since the decision of the Government to afford the United States the bomber base in East Anglia, which makes it all the more necessary that the  position in which we stand should be clearly defined.
/home/labri_pedro/prime_minister/1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;Mr. Churchill;61;—but he should also consider the injury that will be done to our rearmament programme by taking this industry from the competent hands in which it now rests and placing it under the imperfect and inexperienced State management by which it is threatened. It really is not a matter for mere hilarity for uneasy minds and unsettled consciences below the Gangway.
/home/labri_pedro/prime_minister/1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;Mr. Churchill;170;The Prime Minister spoke about raw materials and the arrangements which were being made for them, but steel is the mainspring of all effective rearmament measures. We wished the right hon. Gentleman well upon his Transatlantic mission, and we have recognised the advantages which it has secured, but I will say now that if he persists in his present attitude on steel nationalisation, he will fail in his duties  to the country as a whole. Although we approved of the visit of the Prime Minister to the United States, although we lent him full support on his mission, although the results have been helpful so far as they go, we cannot in these circumstances feel confidence in the loyalty of the Government to the people of this country. The Prime Minister is counting on our support, which will—[HON. MEMBERS: "No."]—which will not be withheld on issues of national importance abroad, while at the same time he is seeking to placate his political tail by acts of party faction at home.
/home/labri_pedro/prime_minister/1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;Mr. Churchill;6;It is very doubtful whether these—
