/home/labri_pedro/prime_minister/1939-10-25-Churchill-House of Commons Hansard-The First Lord of the Admiralty (Mr. Churchill).txt;1939-10-25-Churchill-House of Commons Hansard-The First Lord of the Admiralty (Mr. Churchill).txt;1939-10-25;His Majesty's Ship "Royal Oak" (Inquiry);The First Lord of the Admiralty (Mr. Churchill);48;['The inquiry into the causes of the loss of His Majesty\'s ship "Royal Oak" is now taking place as speedily as possible, but I cannot say when I shall be in a position to make a further statement as a result of the inquiry. I hope next week.\n']
/home/labri_pedro/prime_minister/1939-10-25-Churchill-House of Commons Hansard-Mr. Churchill.txt;1939-10-25-Churchill-House of Commons Hansard-Mr. Churchill.txt;1939-10-25;His Majesty's Ship "Royal Oak" (Inquiry);Mr. Churchill;110;['Yes, Sir  I will make another statement, but I shall have to be very careful not to disclose information which might be useful to other parties.\n Yes, Sir, I will certainly bear that in mind.\n Yes, Sir, I have seen a number of statements made by the German U-boat commander. In part they are a repetition of information which I have given to the House, and in part they have no relation to the facts.\n Yes, Sir, but in relation to Scapa Flow, "harbour" is not quite the right term, because it is a great landlocked bay many miles across. This ship was several miles from any other vessel.\n']
/home/labri_pedro/prime_minister/1950-12-14-Churchill-House of Commons Hansard-The Prime Minister (Mr. Attlee).txt;1950-12-14-Churchill-House of Commons Hansard-The Prime Minister (Mr. Attlee).txt;1950-12-14;Prime Minister's Visit To Usa;The Prime Minister (Mr. Attlee);151;['I think there has been a general desire that with this debate I should give a fuller account of the talks which I had at Washington and supplement the fairly full report that was given in the communiqué. I should like at the outset to recall the circumstances in which I decided to pay a visit to the United States of America. It will be recalled that the House debated foreign affairs on 29th and 30th November, and that just at that time there were grave developments in Korea. I think there was in this country, and, perhaps, not only in this country, a good deal of anxiety as to where events were leading us, and the course of the debate indicated that the present time would be opportune for me to pay a visit to the President of the United States, which I had had in contemplation for some time.\n']
/home/labri_pedro/prime_minister/1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14-Churchill-House of Commons Hansard-Mr. Churchill.txt;1950-12-14;Prime Minister's Visit To Usa;Mr. Churchill;675;['It was not limited.\n We do not know what the assurances are.\n No, I would rather not, thank you very much. One can always take examples from what happens. The President of the United States the other day let himself be cross-examined freely during a Press conference on this very topic. In my opinion, one ought not to say anything upon the subject one has not very carefully considered beforehand. I certainly do not intend to be cross-examined by the hon. Gentleman, because I have considered carefully what I should say. I am strongly of opinion that the Government should make a fuller statement upon this subject, and that this would be beneficial both to our own position and to our relationship with the United States. After all, this matter has become one of very real and vital consequence to us since the decision of the Government to afford the United States the bomber base in East Anglia, which makes it all the more necessary that the  position in which we stand should be clearly defined.\n —but he should also consider the injury that will be done to our rearmament programme by taking this industry from the competent hands in which it now rests and placing it under the imperfect and inexperienced State management by which it is threatened. It really is not a matter for mere hilarity for uneasy minds and unsettled consciences below the Gangway.\n The Prime Minister spoke about raw materials and the arrangements which were being made for them, but steel is the mainspring of all effective rearmament measures. We wished the right hon. Gentleman well upon his Transatlantic mission, and we have recognised the advantages which it has secured, but I will say now that if he persists in his present attitude on steel nationalisation, he will fail in his duties  to the country as a whole. Although we approved of the visit of the Prime Minister to the United States, although we lent him full support on his mission, although the results have been helpful so far as they go, we cannot in these circumstances feel confidence in the loyalty of the Government to the people of this country. The Prime Minister is counting on our support, which will—[HON. MEMBERS: "No."]—which will not be withheld on issues of national importance abroad, while at the same time he is seeking to placate his political tail by acts of party faction at home.\n It is very doubtful whether these—\n As my voice was drowned by hon. Members opposite, I might repeat the sentence on which I closed—namely, that we think it is very doubtful whether—\n If there is any one man in this House who should hang his head in shame—[Interruption]—it is the hon. Gentleman, who won cheers by abusing the United States as shabby moneylenders.\n —and now has to applaud with all his strength the tributes paid by the leader—\n As the hon. Gentleman went out of his way to interrupt me in what I was hoping would be the closing sentence that I should have to utter, I thought it right to point out what he had said in the past and to draw his attention—\n —to draw his attention to the very different sentiments which have been put forward today. I regret very much that the Prime Minister—[Interruption.]—I beg hon. Gentlemen opposite not to interrupt any expression of their feelings which they may desire to make, because it does not trouble or worry me in the slightest. It only prevents my getting on with what I have to say.\n I am quite determined to utter my last sentence if I have to stand here half an hour. What I say is that I very much regret that the Prime Minister has not risen to the heights of his national responsibility, and I predict that he will encounter misfortunes and reproach on the discordant course to which he has devoted himself. [Interruption.]\n Four hundred thousand killed in the Punjab alone.\n The resolution at Strasbourg mentioned them particularly.\n']
/home/labri_pedro/prime_minister/1950-12-14-Churchill-House of Commons Hansard-The Prime Minister.txt;1950-12-14-Churchill-House of Commons Hansard-The Prime Minister.txt;1950-12-14;Prime Minister's Visit To Usa;The Prime Minister;105;['The nature of the arrangements which we made in war-time and the nature of the agreement between the Governments have never been revealed. It is also public knowledge that the co-operation between the countries continues for certain purposes in the atomic energy field. For example, the results of a Tripartite Conference on the declassification of secret material were recently made known.\n In our talks the President and I considered Far Eastern problems in the perspective of the world situation. We are concerned with the preservation of peace not only in the Far East but in South East Asia, in the Middle East and in Europe.\n']
/home/labri_pedro/prime_minister/1947-1-27-Churchill-House of Commons Hansard-Mr. Churchill.txt;1947-1-27-Churchill-House of Commons Hansard-Mr. Churchill.txt;1947-1-27;Anglo-Egyptian Treaty;Mr. Churchill;18;['Is there any reason to doubt that the Treaty of 1936 is a solemn and valid international instrument?\n']
/home/labri_pedro/prime_minister/1951-6-21-Churchill-House of Commons Hansard-Mr. Churchill.txt;1951-6-21-Churchill-House of Commons Hansard-Mr. Churchill.txt;1951-6-21;Capital Investment Programme (Government Policy);Mr. Churchill;157;["Is it not rather abrupt to turn down all idea of a White Paper, even supposing it could not have the full precision of previous years—if, indeed, that quality has resided in the documents then published? Could it not be issued under the necessary reserves? Could not we have the most detailed and careful statement that the right hon. Gentleman can prepare under the reserves, even if some of the details are necessarily  I omitted? Surely we ought to have some thing more than just these three pages of typescript read out to us before very large: changes affecting the social life of the: whole people are, as it were, tacitly assented to by the House? May I ask the Chancellor of the Exchequer whether he will not reconsider this matter and give' us the best White Paper he can, and then we can consider in what form the matter should be debated or carried further.\n"]
/home/labri_pedro/prime_minister/1952-7-22-Churchill-House of Commons Hansard-The Prime Minister.txt;1952-7-22-Churchill-House of Commons Hansard-The Prime Minister.txt;1952-7-22;Civil List Pensions;The Prime Minister;52;['As the list was published three months ago, I do not think there is any reason for printing it in the OFFICIAL REPORT now. This is a matter in which there is no secrecy, but on the other hand undue publicity is not encouraged by convention and custom followed by both parties.\n']
/home/labri_pedro/prime_minister/1945-3-27-Churchill-House of Commons Hansard-The Prime Minister (Mr. Churchill).txt;1945-3-27-Churchill-House of Commons Hansard-The Prime Minister (Mr. Churchill).txt;1945-3-27;Timber (Supplies From Germany);The Prime Minister (Mr. Churchill);2;['Yes, Sir.\n']
/home/labri_pedro/prime_minister/1945-3-27-Churchill-House of Commons Hansard-The Prime Minister.txt;1945-3-27-Churchill-House of Commons Hansard-The Prime Minister.txt;1945-3-27;Timber (Supplies From Germany);The Prime Minister;2;['Yes, Sir.\n']
